name,ingredients,diet,flavor_profile,course,state,region,image,
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/11/balushahi.jpg,
Boondi,"Gram flour, ghee, sugar",vegetarian,sweet,dessert,Rajasthan,West,https://www.spiceupthecurry.com/wp-content/uploads/2020/08/boondi-ladoo-1.jpg,
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,sweet,dessert,Punjab,North,https://www.spiceupthecurry.com/wp-content/uploads/2020/08/boondi-ladoo-1.jpg,
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,sweet,dessert,Rajasthan,West,https://upload.wikimedia.org/wikipedia/commons/a/a7/GhevarRajasthaniSweet.jpg,
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Imarti,"Sugar syrup, lentil flour",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,sweet,dessert,Uttar Pradesh,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,sweet,dessert,Sorry! Not Known,Popular all over India,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kalakand,"Milk, cottage cheese, sugar",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,sweet,dessert,Sorry! Not Known,Popular all over India,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Laddu,"Gram flour, ghee, sugar",vegetarian,sweet,dessert,Sorry! Not Known,Popular all over India,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,sweet,dessert,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,sweet,dessert,Sorry! Not Known,Popular all over India,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,sweet,dessert,Uttar Pradesh,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Phirni,"Rice, sugar, nuts",vegetarian,sweet,dessert,Odisha,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,sweet,dessert,Uttar Pradesh,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Sheera,"Semolina, ghee, nuts, milk",vegetarian,sweet,dessert,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Singori,"Khoa, coconut, molu leaf",vegetarian,sweet,dessert,Uttarakhand,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,sweet,dessert,Uttar Pradesh,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,sweet,dessert,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,sweet,dessert,Odisha,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Chhena kheeri,"Chhena, sugar, milk",vegetarian,sweet,dessert,Odisha,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Chhena poda,"Sugar, chenna cheese",vegetarian,sweet,dessert,Odisha,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,Odisha,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Ledikeni,"Chhena, sugar, ghee",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,sweet,dessert,Assam,North East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,sweet,dessert,Bihar,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Mihidana,"Besan flour, sugar, ghee",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Misti doi,"Milk, jaggery",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Pantua,"Chhena, sugar, ghee, flour",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Pithe,"Rice flour, wheat flour",vegetarian,sweet,dessert,Assam,North East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Rasabali,"Chenna, sweetened milk",vegetarian,sweet,dessert,Odisha,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Rasgulla,"Chhena, sugar, cardamom",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Ariselu,"Rice flour, jaggery, ghee",vegetarian,sweet,dessert,Andhra Pradesh,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,sweet,dessert,Andhra Pradesh,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Chikki,"Peanuts, jaggery",vegetarian,sweet,dessert,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,sweet,dessert,Karnataka,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Double ka meetha,"Loaf bread, milk",vegetarian,sweet,dessert,Telangana,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,sweet,dessert,Andhra Pradesh,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kakinada khaja,"Wheat flour, sugar",vegetarian,sweet,dessert,Andhra Pradesh,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kuzhi paniyaram,"Black lentils, rice",vegetarian,sweet,dessert,Kerala,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,sweet,dessert,Karnataka,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,sweet,main course,Karnataka,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Palathalikalu,"Rice flour, milk",vegetarian,sweet,dessert,Andhra Pradesh,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Poornalu,"Chana dal, jaggery",vegetarian,sweet,dessert,Andhra Pradesh,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Pongal,"Rice, jaggery, cashews, ghee",vegetarian,sweet,dessert,Tamil Nadu,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,sweet,dessert,Andhra Pradesh,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Qubani ka meetha,"Apricots, sugar syrup",vegetarian,sweet,dessert,Telangana,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Sheer korma,"Vermicelli pudding, milk",vegetarian,sweet,dessert,Telangana,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,sweet,dessert,Tamil Nadu,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,sweet,dessert,Andhra Pradesh,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,sweet,dessert,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Basundi,"Sugar, milk, nuts",vegetarian,sweet,dessert,Gujarat,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Dhondas,"Cucumber, rava",vegetarian,sweet,dessert,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,sweet,dessert,Gujarat,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Mahim halwa,"Semolina, sugar",vegetarian,sweet,dessert,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Modak,"Rice flour, coconut, jaggery ",vegetarian,sweet,dessert,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,sweet,dessert,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,sweet,dessert,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Sutar feni,"Maida, sugar, ghee",vegetarian,sweet,dessert,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,spicy,main course,Assam,North East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,spicy,main course,Tripura,North East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,sweet,dessert,Manipur,North East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,spicy,main course,Nagaland,North East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,bitter,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,spicy,main course,Telangana,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,spicy,main course,NCT of Delhi,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,Try out yourself,main course,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,spicy,main course,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,spicy,starter,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,spicy,main course,Rajasthan,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,spicy,main course,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,sweet,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,spicy,main course,Jammu & Kashmir,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,spicy,snack,Maharashtra,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,spicy,snack,Chhattisgarh,Central,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,spicy,snack,Uttar Pradesh,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,spicy,main course,Haryana,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,bitter,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,spicy,main course,Sorry! Not Known,Popular all over India,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,spicy,main course,Uttar Pradesh,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,sweet,dessert,Sorry! Not Known,Popular all over India,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,spicy,main course,Uttar Pradesh,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,spicy,main course,Sorry! Not Known,Popular all over India,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,spicy,main course,Bihar,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,Try out yourself,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,spicy,main course,Uttar Pradesh,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,spicy,snack,Sorry! Not Known,Popular all over India,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,sweet,dessert,Uttar Pradesh,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,spicy,snack,Sorry! Not Known,Popular all over India,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,spicy,main course,Rajasthan,West,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,spicy,main course,Sorry! Not Known,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,Try out yourself,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,spicy,snack,Sorry! Not Known,Popular all over India,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,spicy,main course,Bihar,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,sweet,dessert,Telangana,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,spicy,main course,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,spicy,starter,Punjab,North,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,spicy,snack,Andhra Pradesh,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,spicy,main course,Kerala,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,spicy,main course,Karnataka,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,spicy,main course,Tamil Nadu,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,spicy,snack,Sorry! Not Known,South,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg,
